ID	ID_BEZERO	ID_EGOERA	ESKAERA_DATA
105	1	1	17/11/2016
44	2	1	20/02/2017
101	3	1	03/01/2017
1	4	1	15/10/2017
5	5	2	09/04/2017
28	6	2	15/08/2017
87	7	2	01/12/2016
4	8	3	09/04/2015
41	9	3	11/05/2017
82	44	3	03/12/2016
102	45	3	20/12/2016
26	46	3	16/08/2016
43	47	3	02/05/2015
53	48	3	29/09/2016
81	49	3	13/12/2016
83	16	3	02/12/2016
93	17	3	27/10/2016
94	1	3	27/10/2017
79	2	3	14/12/2016
80	3	3	13/12/2016
2	4	3	26/04/2015
3	5	3	26/04/2017
6	6	3	09/04/2015
7	7	3	15/02/2017
8	8	3	14/02/2017
9	9	3	14/02/2017
10	44	1	24/01/2017
11	45	3	29/11/2016
12	46	3	29/11/2016
13	47	3	29/11/2016
14	48	3	28/09/2017
15	49	3	27/09/2017
16	16	1	27/09/2016
17	17	3	27/09/2017
18	18	3	16/08/2016
19	19	3	27/05/2016
20	20	3	27/05/2017
21	21	1	27/05/2017
22	22	2	26/05/2016
23	23	3	07/09/2016
24	41	3	07/09/2016
25	42	3	24/08/2016
27	43	2	16/08/2016
29	44	3	14/08/2017
30	45	3	12/08/2017
31	46	2	12/08/2017
32	47	3	09/03/2017
33	48	3	07/03/2017
34	49	3	12/06/2016
35	50	3	05/09/2016
36	51	3	05/09/2017
37	52	3	19/02/2017
38	53	2	31/05/2015
39	54	3	22/10/2016
40	55	3	11/05/2017
42	56	2	03/05/2015
45	57	3	20/02/2017
46	58	1	20/02/2017
47	59	2	10/10/2016
48	60	2	10/10/2016
49	61	3	02/10/2016
50	62	1	02/10/2016
51	63	3	02/10/2016
52	64	3	02/10/2016
54	65	3	29/09/2016
55	66	1	29/09/2016
56	67	2	29/09/2016
57	68	3	24/08/2017
58	69	3	24/08/2016
59	70	3	29/06/2015
60	1	3	30/06/2017
61	2	3	30/06/2016
62	3	3	30/06/2015
63	4	3	30/06/2016
64	5	3	21/06/2016
65	6	3	21/06/2013
66	7	2	21/06/2016
67	8	2	14/06/2016
68	9	1	13/06/2016
69	44	2	17/03/2017
70	45	2	21/02/2017
71	46	3	21/02/2017
72	47	3	17/02/2016
73	48	3	17/02/2016
74	49	3	10/02/2017
75	16	3	10/02/2017
76	17	3	10/02/2017
77	1	3	02/01/2017
78	2	1	14/12/2015
84	3	3	01/12/2015
85	4	1	01/12/2016
86	5	1	30/11/2016
88	6	3	01/11/2017
89	7	3	27/10/2015
90	8	1	28/10/2015
91	9	1	28/10/2016
92	44	3	28/10/2015
95	45	3	19/09/2016
96	46	3	14/09/2016
97	47	2	12/07/2016
98	48	3	18/03/2017
99	49	3	07/01/2017
100	16	1	05/01/2017
103	17	1	08/02/2016
104	18	3	01/02/2017
